region,drivmedel,årmånad,antal
12 Skåne län,bensin,202111,966
12 Skåne län,bensin,202112,922
12 Skåne län,bensin,202201,790
12 Skåne län,bensin,202202,852
12 Skåne län,diesel,202003,1287
12 Skåne län,diesel,202004,861
12 Skåne län,diesel,202005,759
12 Skåne län,diesel,202006,1111
12 Skåne län,diesel,202007,989
12 Skåne län,diesel,202008,841
12 Skåne län,diesel,202009,892
12 Skåne län,diesel,202010,1005
12 Skåne län,diesel,202011,940
12 Skåne län,diesel,202012,898
12 Skåne län,diesel,202101,968
12 Skåne län,diesel,202102,914
12 Skåne län,diesel,202103,1393
12 Skåne län,diesel,202104,927
12 Skåne län,diesel,202105,784
12 Skåne län,diesel,202106,844
12 Skåne län,diesel,202107,565
12 Skåne län,diesel,202108,434
12 Skåne län,diesel,202109,388
12 Skåne län,diesel,202110,460
12 Skåne län,diesel,202111,554
12 Skåne län,diesel,202112,493
12 Skåne län,diesel,202201,526
12 Skåne län,diesel,202202,523
13 Hallands län,bensin,202003,436
13 Hallands län,bensin,202004,332
13 Hallands län,bensin,202005,274
13 Hallands län,bensin,202006,417
13 Hallands län,bensin,202007,389
13 Hallands län,bensin,202008,450
13 Hallands län,bensin,202009,411
13 Hallands län,bensin,202010,436
13 Hallands län,bensin,202011,355
13 Hallands län,bensin,202012,354
13 Hallands län,bensin,202101,346
13 Hallands län,bensin,202102,338
13 Hallands län,bensin,202103,688
13 Hallands län,bensin,202104,280
13 Hallands län,bensin,202105,352
13 Hallands län,bensin,202106,417
13 Hallands län,bensin,202107,267
13 Hallands län,bensin,202108,277
13 Hallands län,bensin,202109,250
13 Hallands län,bensin,202110,249
13 Hallands län,bensin,202111,259
13 Hallands län,bensin,202112,247
13 Hallands län,bensin,202201,210
13 Hallands län,bensin,202202,215
13 Hallands län,diesel,202003,138
13 Hallands län,diesel,202004,105
13 Hallands län,diesel,202005,93
13 Hallands län,diesel,202006,168
13 Hallands län,diesel,202007,144
13 Hallands län,diesel,202008,127
13 Hallands län,diesel,202009,144
13 Hallands län,diesel,202010,136
13 Hallands län,diesel,202011,135
13 Hallands län,diesel,202012,155
13 Hallands län,diesel,202101,113
13 Hallands län,diesel,202102,116
13 Hallands län,diesel,202103,219
13 Hallands län,diesel,202104,88
13 Hallands län,diesel,202105,127
13 Hallands län,diesel,202106,161
13 Hallands län,diesel,202107,90
13 Hallands län,diesel,202108,76
